val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
2.0379083156585693,138744128.0,1.8875824368518332,167940067.36231884
2.1528639793395996,152620640.0,1.708674012750819,166870691.16194677
2.0872268676757812,148358144.0,1.6893722509992295,178114779.01449275
1.9784674644470215,140733728.0,1.632875451143237,172182094.84057972
1.8441147804260254,112501024.0,1.540272201316944,171844419.2463768
1.9124844074249268,127510048.0,1.5155840196471284,155026548.63768116
1.9027812480926514,125521768.0,1.4443140081737353,156645449.73913044
2.0860419273376465,145655008.0,1.3858390251795452,163582457.10144928
1.774794578552246,108075184.0,1.3277121799579565,134880377.2173913
1.779647707939148,110069904.0,1.314533022866733,134502395.36231884
2.1179652214050293,84477496.0,1.2568433535271797,125397491.71014492
2.2277181148529053,105065176.0,1.2496282147324604,113498850.31884058
2.264307737350464,122177736.0,1.204705252163652,102105658.60869566
2.0364794731140137,145500288.0,1.185453140217325,80963331.36231884
2.6834917068481445,132490544.0,1.1834651715513589,82265953.94202898
2.4147543907165527,94182896.0,1.160641640856646,78483397.1884058
2.463587522506714,113913856.0,1.144094316855721,60109008.347826086
1.7078375816345215,63206840.0,1.1413245615751848,69040441.44927536
2.3605310916900635,120569432.0,1.1286186981892241,43088661.1884058
2.0784192085266113,33889308.0,1.1284395991892056,57699884.46376812
2.838186264038086,43701016.0,1.1057200587314109,33050091.07246377
2.2554256916046143,27949112.0,1.134926224100417,51898612.8115942
2.778672218322754,23440254.0,1.0983949718268022,27187563.06521739
2.9182512760162354,38329692.0,1.0917409261067708,18041127.942028984
2.882005214691162,16015137.0,1.0874634220980215,18597540.52173913
2.5762665271759033,42374804.0,1.091890846905501,15291607.938405797
2.9490489959716797,11848444.0,1.0834576928097268,8853144.358695652
2.724890947341919,32910684.0,1.0829602035059445,8138214.454710145
2.6064929962158203,122293208.0,1.0920533615609873,15742613.304347826
2.9269816875457764,20116308.0,1.1186987567639006,35237881.9057971
2.722275495529175,18347562.0,1.0849616406620413,11893248.596014492
2.7504632472991943,13128709.0,1.0819625785385354,6505935.213768116
2.6937708854675293,13489701.0,1.0812080830767534,3723491.5036231885
2.7138423919677734,15431086.0,1.081045577491539,3895897.731884058
2.7527801990509033,10420457.0,1.0807321348052095,4408286.969542572
2.753788471221924,19741270.0,1.080529694971831,2785603.507246377
2.883558750152588,12067121.0,1.080423192701478,2664468.297101449
2.9675605297088623,22719274.0,1.0804183405378591,2201098.6893115942
3.0124752521514893,9137144.0,1.0800893963247105,2189207.9329710146
3.040276050567627,6400456.0,1.0802235437044199,2291758.700181159
3.075434446334839,5531351.0,1.080091585283694,1791634.9923007246
3.0873947143554688,4683632.0,1.103011076864989,15031270.17210145
1.703183650970459,2027105.375,1.0937444576318713,13901228.88768116
1.9954214096069336,4977747.0,1.082510176776112,3493673.8070652173
